,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and,), be, in, a, a, I, a, I, I, the, a, you
1,bread and,), be, in, a,b, I, a, I, I, Soy, other, bread
2,salt and,"
", the, contains, I, the, I, the, I, F, the, to, a
3,thunder and,), the, the, I, the, the, how, a, is, the, is, the
4,social media,),",",",",",","
",",",., is, is, and, and,""""
5,credit card,),",",.,",",., of,",",?, for,",", and,)
6,climate change, are,), in,., in,",",., is,.,",",",",.
7,artifical intelligence,",",",", is, report,.,",",",", is,-,",",".""",.
8,global warming,),",",",",".""",-, is,-, is, is,",",".""","."""
9,state of,), the, the, a, the, the, the, course, New, the, the, the
10,fast food,),",",",",".""", I,",",., is,",", and, and,","
11,rising sea,),",",",",., of, of, turtle,?, ice,-, and, of
12,University of,),",", the, the, the, York, Washington, I, Sydney, Open, California, Aberdeen
13,We will, are, be, be, have, clear, be,-, be, be, continue, continue, be
14,Do you, are, be, have, have, know, want, have, want, want, Choose, think, think
15,When you, are,",", have, have,'re, don, can, are, are,'re,'re,'re
16,did not,), be, more,., change, want,-, have, have,",", have, say
17,You can,), be, be,'t,'t,'t,'t, also, and,'t, make,'t
18,You may,), be, be, have, be, not,-, not, be, also, also, not
19,He was,), be, was, a, the, a, a, really, a, the, a, a
20,If you, are, be, have, have,'re, don, can, can, are,'re,'re,'re
21,when they,), be, are, had,'re,'re,'s, are, are,'re,'re,'re
22,be in,), the, in, the,ond, the, the,?, the, the, the, the
23,the end,), of, of, to, of, of, of, of, of, of, of, of
24,the past,),",",",", the, few, two,el, two,.,",",",",","
25,each other,),",", other, other,"
",",", to,?,",",'s,",",","
26,and there,), be, is,",",'s,'s,'s, is, is, are,'s, are
27,on all,), be, of, of, I, of, the, in, of, the, the, the
28,the form,), of,",",",", of, of, a, of, of, of, and, of
29,in all,), be, of, the, the,",", the, the, of, the, of,","
30,years ago, are,"),",",",), by,",",.,",",",",",",.,.
31,for example,),",",",",",",",",",",",",",",",",",",",",","
32,to top,),), of,.,"
", of, a, to, right, the,"
", of
33,and on,), on, on, the, the, the, the, to, the, the, the, the
34,as well,),",", as, well, as, as, as, as, as, as, as, as
35,to all,), be, of, of, I,",", the, the, of, the, of, the
36,as possible, are,",",",",., game, for,., to,.,",",",",.
37,a member,),), of,.,"
", of,., of, of, of, of, of
38,more info,), nor, info,.,-,/, on,?, and,:, and,]
