,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, the, the, the, the, the, the, he, and, these, (, the, the
1,bread and, the, the, the, the, the, the, in, and, the, (, a, the
2,salt and, the,and, the, the, the, the, the, the, the, the, the, salt
3,thunder and, the, under, the, the, the, the, the, the, the, the, the, the
4,social media, the, Media,",", the,",", to, to, and,",","""",",",","
5,credit card, the, card, card, at,",",)., in, of,?,",",",",","
6,climate change, make,.,., the,",",., in, and,?,",",",",","
7,artifical intelligence, performance, analysts,",",ment, (,., and,",", and,",",",",.
8,global warming, the, warming,",", was, is,.,., of,",",",""",",",","
9,state of, the, the, the, the, the, the, of, of, that, the, the, the
10,fast food, the, food,",", the,",",., and, and,",", and,",", and
11,rising sea, be, sea,",", that,",", in, of, of, of, (,",",","
12,University of, the, of, the, the, the, the, of, of, Virginia, (, the, Massachusetts
13,We will, protect, be, be, be, be, be, be, be, be, be, be, not
14,Do you, the,",", are, have, mean,., have, know, think, know, have, have
15,When you, the, you, are, should, are, are, are,'re,'re,'re, have, have
16,did not, protect, a, the, the, be,), be, know, see, have, have, have
17,You can, the, be, be, be, it,'t,'t,'t, also, also, also, also
18,You may, the, be, be, be, be, have, have, be, also, also, have, have
19,He was, the, a, the, the, well, a, not, a, a, a, a, a
20,If you, the,",", are, should, are,., are,'re,'re,'re, have, want
21,when they, the, are, is, are, are, were, were, were, were, were, were, are
22,be in, the, the, the, the, the, the, of, of, that, the, the, the
23,the end, the, of, of, of, of, of, of, of, of, of, of, of
24,the past, the, past,",", the, and,), for, and,",",",",",",","
25,each other, the, other,",", the, may,)., in, of, of,",", in,","
26,and there, the, there, is, is, is,), is, of,'s,'s, is,'s
27,on all, the, all, the, the, the,)., of, of, of, the, the, the
28,the form, the, of, of, of, is, of, of, of, of, of, of, of
29,in all, the, all, of, the, or,)., of, of, of, the, the,","
30,years ago, the,"
",",",.,",",.,.,.,",",",",",",","
31,for example, the, of,",", the,",",",", in, of,",",",",",",","
32,to top, the, top, of, of, 15, of, of, of, it, it, of, of
33,and on, the, the, the, the, the, the, to, the, that, the, the, the
34,as well, the, well,",", be,",", as, well, as, as, as, as, as
35,to all, the, all, the, the, or, the, of, of, of,",", the, the
36,as possible, the,.,.,",",.,.,., of,",",.,",",.
37,a member, the, of, of, of, for,., of, of, of, of, of, of
38,more info, protect, info,",", the,:,)., and, and, on, on,",", on
