,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, the, Windows, and, the, the, the, the, a, the, the, the, the
1,bread and, the, Android, and, the, the, the, other, a, cheese, other, the, other
2,salt and, the, Alt, and, salt, salt, the, salt, the, salt, salt, the, is
3,thunder and, the, the, and, the, the, the, the, the, the, the, the, is
4,social media,),),",",",","""",",",",","""", platforms,",", the, platforms
5,credit card,),),",",",",),",",",",), information,), the, information
6,climate change, the,),-,",",.,",",.,.,",",., the,.
7,artifical intelligence,",", is,",",.,.,.,.,.,.,.,",",.
8,global warming,),), and,.,"""",.,.,.,",",., the, is
9,state of, the, the, Com, the, the, the, the, the, the, the, the, the
10,fast food,),), and,",",.,",",",",",", and,",", the, restaurants
11,rising sea,), floor,-, of, of,",",",", of,-, of, the, life
12,University of, the, California, No, California, California, California, California, California, Toronto, California, the, Waterloo
13,We will, be, be, and, be, be, not, be, be, be, be, the, not
14,Do you, the, want,"
", want, want, think, think, have, think, think, the, think
15,When you,),'re,-,'re,'re,'re,'re,'re,'re,'re, the,'re
16,did not, be, only,",", have, know, have, have, have, have, have, the, know
17,You can, be, see,",",'t,'t,'t,'t,'t, see, see, the,'t
18,You may, be, have,"
", have, be, be, have, have, have, have, the, be
19,He was, a, a,",", a, a, a, a, a, a, a, the, a
20,If you, the, want,-, are,'re,'re,'re,'re, want, want, the,'re
21,when they,), are,",", are,'re, are, were,'re,'re,'re, the, were
22,be in, the, particular, China, the, the, the, the, the, the, the, the, the
23,the end,), of,-, of, of, of, of, of, of, of, the, of
24,the past,),),-,",", few,",",",",",", few, few, the, few
25,each other,),),",",",", than,",",.,),'s,), the,)
26,and there,), are,",",'s,'s,'s,'s,'s,'s,'s, the,'s
27,on all, the, the, and, the, the, the, the, the, the, the, the, the
28,the form,), of,-, of, of, of, of, of, of, of, the, of
29,in all, the,), and, the,",",., the, the, the, the, the, the
30,years ago,),),-,.,",",",",.,",",",",",", the,.
31,for example,",",",",",",",",",",",",",",",",",",",", the,","
32,to top, the,),",", of, of, of, the, of, of, of, the, it
33,and on, the, the,-, the, the, the, the, the, the, the, the, the
34,as well,-,",", Com, as, as, as, as, as, as, as, the, as
35,to all, the,),",", the, the, be, the, the, of, the, the, the
36,as possible,),),",",., to,.,.,.,",",., the,.
37,a member, of, of, and, of, of, of, of, of, of, of, the, of
38,more info,),),",",], on,.,:, on,), about, the,]
