,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and,., the, to, I, are, the, said, the, so, the, the, the
1,bread and,., the, make, I, are, the, said," """, the, the, other, the
2,salt and, the, the, in, I, the, the, say, and, salt, the, the, the
3,thunder and, the, the, the, I, the, the, still, and, a, the, the, the
4,social media,"
",.,),"
",",",",",.,",", and,",",.,.
5,credit card,"
",.,),"
",",",),-,",", or,",",.,)
6,climate change,"
",., change,.,.,.,.,",",.,.,.,.
7,artifical intelligence,.,",",),.,.,"""",.,",","""",",",.,.
8,global warming,"
",.,),.,.,".""",., (,.,.,.,.
9,state of,., the, the, the, the, $, the, the, the, the, the, the
10,fast food, of,.,),.,",",",",., and, and,",",., and
11,rising sea,"
",.,),",",",", of,.,-, and,.,.,.
12,University of,., the, the, the, the, St, the," """, of,"
", Massachusetts, the
13,We will,"
", be, be, be, be, see, say, be, be, be, be, be
14,Do you,.,",", see, use, know, want, know,",", ever, want, know, have
15,When you,"
",",", see, can, are,'re, said, are,'re,'re, get, are
16,did not,., the, be, know, have,., know,",", come, have, have, have
17,You can,"
", be, see,'t, find,'t, say, see,'t,'t, see, see
18,You may,"
", be, not, have, be, also, say, be, have, not, be, have
19,He was,., a, the, a, a, a, just, a, just, not, still, a
20,If you,"
", the, have, can,",", can, said,",", didn,'re, are, are
21,when they,"
", the, are,'re, are,'re, were, are, were,'re, are,","
22,be in,., the, the, the, the, the, the, the, the, the, the, the
23,the end, of,.,), of, of, of, of, of, of, of, of, of
24,the past,"
",.,",", the,",", few, week, year,.,",", few,","
25,each other,"
",.,),),",",",", with,",",'s,.,.,.
26,and there,"
",.,),., is,'s,'s,",", it, are,'s, is
27,on all,"
",., of, the, the, of, that, the, you, the, the, the
28,the form, of, of,),., of, of, of,",", that, of,., of
29,in all,"
",.,), the,-, of, the, the, the, the,., the
30,years ago,"
",.,),.,.,",",",",",",.,.,.,.
31,for example,"
",.,",",),",",",",),",",",",",",",",","
32,to top,"
",.,),"
",",", of, a, to,"""","
",., of
33,and on,., the, the, the, the, the, the, the, the, the, the, the
34,as well,"
",.,",",., as, as, as,",", as, as, as, as
35,to all,"
",.,), the, the, of, that, the, of, the,., the
36,as possible,"
",.,),.,.,",",., to,.,.,.,.
37,a member,"
",.,), of, of, of, of, of, of, of,., of
38,more info,"
",., info,"
",.,),), about, about,"
",.,]
